PatientID,Pseudomonas,Haemophilus,Streptococcus,Veillonella,Neisseria,Granulicatella,Prevotella,Candida,Saccharomyces,Curvularia,RV,Flu_B,MPV
14_BSL,0.0005593467924820003,0.0003084069643479522,0.04669013260258998,0.0036893901449326456,0.21780810853552518,0.022343222559965924,0.008114359633403264,0.6658566318840374,0.008171816349726146,0.02645858453298954,0.0,0.0,0.0
28_BSL,0.0012149627505167254,7.231921134028126e-05,0.009681131758085652,0.005409477008253039,0.01394314394640623,0.029949796056388485,0.00019285123024075004,0.9348712505125856,0.00023991221267484836,0.00442504747822498,6.1155915670078935e-12,0.0,1.0782916794696616e-07
125_BSL,0.06855278635785639,0.0008349088529429513,0.02324205725760108,0.030096207638180033,0.06392694001046975,0.13358541647087221,0.02635604162803695,0.3210518157560832,0.13248571379856522,0.1998681122293922,0.0,0.0,0.0
169_BSL,0.2252564577938825,2.837936222835745e-05,0.010191974954944104,0.01711275542369954,0.007189438431183886,0.00563803329603368,0.0019373644614558685,0.36111638506238003,0.0028427654218137056,0.0015331768567085154,0.36715326893566974,0.0,0.0
205_BSL,0.19329574545948466,0.014793041744348315,0.013806838961391761,0.006903419480695881,0.003944811131826218,0.003944811131826218,0.003944811131826218,0.34768921469810105,0.10539746681149222,0.000151767495648688,0.11267331013915732,0.19345476181420151,0.0
217_BSL,0.0005841798324688054,0.00013144046230548123,0.045054869579156616,0.013100232743112962,0.019832905312315945,0.03966581062463189,0.008791906478655522,0.2823538045068693,0.13454657056172042,0.01251657806331628,0.0,0.4434217018354467,0.0
276_BSL,0.0005160034500275527,0.14384225442018064,0.017245212863420827,0.027077595676445833,7.551270000403208e-05,0.002655529950141795,0.01571922705083935,0.6095428442497685,0.1822403961057835,0.0010854235333880382,0.0,0.0,0.0
334_BSL,0.25441705933404907,8.403465660106645e-05,0.010717979507169916,0.012286151658318631,0.00018231247533790685,0.0008659842578550578,0.003999479927725332,0.2995603332705399,0.03594723999246479,0.013480214997174295,0.000527210058997593,0.0,0.3679319998637665
394_BSL,0.3008583642855085,3.8682191586750696e-05,0.001743042996651463,0.006308713791511884,2.8132502972182324e-05,0.0003657225386383702,0.003094575326940055,0.3126319822646784,0.03145677840124473,0.0005646088430992644,0.06880814484071748,0.0,0.274101252016451
425_BSL,0.00020799828405997938,0.1078008884441971,0.0023544250209567115,0.0014935432341529077,0.0011902124032321043,0.00048532932947328524,0.0005662175510521661,0.3574133673111814,0.02858033872176677,0.04563942731293269,0.0,0.3881377642980747,0.06613048808892036
515_BSL,0.0011224030292839263,6.366571804761767e-05,0.010485979561398361,6.366571804761767e-05,0.00018863916458553386,0.0002923907051075774,6.602370760493686e-05,0.34452911822046817,0.03558235163518614,0.14028042280894312,0.0,0.4673253397313269,0.0
540_BSL,0.0018970464053401992,0.006899741361358305,0.041207213651482485,0.017585926152730316,0.012254307828044353,0.04993515699218073,0.010923315592039535,0.06353367023741688,0.3544375223978041,0.006627094854696544,0.43469900452690663,0.0,0.0
